#num_of_iter: 100
#num_of_exper: 1
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.3
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 2557797826341802628
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
57        0.0755        0.6038        0.0000        0.0849        0.1698        0.0000        0.0000        0.0000        0.0660        0.9357        0.0536        0.0000        0.0000        0.0000        0.0045        0.0045        0.0000        0.0018        0.0000         0.0000         0.0103         0.0000         0.0000         0.0183         0.0171         0.9520         0.0023         
58        0.0789        0.5614        0.0000        0.0702        0.2193        0.0000        0.0000        0.0000        0.0702        0.9447        0.0453        0.0000        0.0000        0.0000        0.0036        0.0045        0.0000        0.0018        0.0000         0.0000         0.0102         0.0000         0.0000         0.0170         0.0170         0.9557         0.0000         
59        0.0982        0.5714        0.0000        0.0804        0.1964        0.0000        0.0000        0.0000        0.0536        0.9450        0.0450        0.0000        0.0000        0.0000        0.0054        0.0036        0.0000        0.0009        0.0000         0.0000         0.0091         0.0000         0.0000         0.0204         0.0170         0.9535         0.0000         
60        0.1048        0.5810        0.0000        0.0667        0.2000        0.0000        0.0000        0.0000        0.0476        0.9466        0.0380        0.0000        0.0000        0.0000        0.0045        0.0054        0.0000        0.0054        0.0000         0.0000         0.0067         0.0000         0.0000         0.0222         0.0166         0.9545         0.0000         
61        0.1188        0.5743        0.0000        0.0396        0.2079        0.0000        0.0000        0.0000        0.0594        0.9424        0.0405        0.0000        0.0000        0.0000        0.0054        0.0063        0.0000        0.0054        0.0000         0.0000         0.0066         0.0000         0.0000         0.0207         0.0186         0.9541         0.0000         
62        0.0825        0.5258        0.0000        0.0515        0.2784        0.0000        0.0000        0.0000        0.0619        0.9510        0.0357        0.0000        0.0000        0.0000        0.0053        0.0036        0.0000        0.0045        0.0000         0.0000         0.0055         0.0000         0.0000         0.0198         0.0231         0.9516         0.0000         
63        0.0826        0.5229        0.0000        0.0459        0.2936        0.0000        0.0000        0.0000        0.0550        0.9532        0.0324        0.0000        0.0000        0.0000        0.0063        0.0027        0.0000        0.0054        0.0000         0.0000         0.0054         0.0000         0.0000         0.0196         0.0240         0.9510         0.0000         
64        0.0957        0.5851        0.0000        0.0319        0.2234        0.0000        0.0000        0.0000        0.0638        0.9556        0.0311        0.0000        0.0000        0.0000        0.0071        0.0027        0.0000        0.0036        0.0000         0.0000         0.0054         0.0000         0.0000         0.0205         0.0248         0.9492         0.0000         
65        0.0526        0.6421        0.0000        0.0421        0.2000        0.0000        0.0000        0.0000        0.0632        0.9594        0.0282        0.0000        0.0000        0.0000        0.0071        0.0018        0.0000        0.0035        0.0000         0.0000         0.0054         0.0000         0.0000         0.0195         0.0249         0.9502         0.0000         
66        0.0581        0.5930        0.0000        0.0581        0.2209        0.0000        0.0000        0.0000        0.0698        0.9604        0.0246        0.0000        0.0000        0.0000        0.0070        0.0026        0.0000        0.0053        0.0000         0.0000         0.0053         0.0000         0.0000         0.0211         0.0243         0.9493         0.0000         
67        0.0595        0.6786        0.0000        0.0357        0.1548        0.0000        0.0000        0.0000        0.0714        0.9680        0.0196        0.0000        0.0000        0.0000        0.0071        0.0027        0.0000        0.0027        0.0000         0.0000         0.0053         0.0000         0.0000         0.0212         0.0265         0.9470         0.0000         
68        0.0581        0.6512        0.0000        0.0581        0.1628        0.0000        0.0000        0.0000        0.0698        0.9637        0.0248        0.0000        0.0000        0.0000        0.0062        0.0027        0.0000        0.0027        0.0000         0.0000         0.0054         0.0000         0.0000         0.0195         0.0227         0.9524         0.0000         
69        0.0581        0.6860        0.0000        0.0581        0.1279        0.0000        0.0000        0.0000        0.0698        0.9649        0.0246        0.0000        0.0000        0.0000        0.0044        0.0053        0.0000        0.0009        0.0000         0.0000         0.0054         0.0000         0.0000         0.0161         0.0226         0.9559         0.0000         
70        0.0538        0.6559        0.0000        0.0538        0.1720        0.0000        0.0000        0.0000        0.0645        0.9649        0.0245        0.0000        0.0000        0.0000        0.0035        0.0053        0.0000        0.0018        0.0000         0.0000         0.0053         0.0000         0.0000         0.0170         0.0277         0.9500         0.0000         
71        0.0641        0.6410        0.0000        0.0641        0.1538        0.0000        0.0000        0.0000        0.0769        0.9638        0.0283        0.0000        0.0000        0.0000        0.0035        0.0035        0.0000        0.0009        0.0000         0.0000         0.0053         0.0000         0.0000         0.0127         0.0307         0.9513         0.0000         
72        0.0649        0.5325        0.0000        0.0649        0.2597        0.0000        0.0000        0.0000        0.0779        0.9600        0.0295        0.0000        0.0000        0.0000        0.0035        0.0052        0.0000        0.0017        0.0000         0.0000         0.0052         0.0000         0.0000         0.0105         0.0346         0.9496         0.0000         
73        0.0714        0.5857        0.0000        0.0714        0.2143        0.0000        0.0000        0.0000        0.0571        0.9607        0.0262        0.0000        0.0000        0.0000        0.0061        0.0052        0.0000        0.0017        0.0000         0.0000         0.0052         0.0000         0.0000         0.0073         0.0344         0.9531         0.0000         
74        0.0893        0.5893        0.0000        0.0893        0.1607        0.0000        0.0000        0.0000        0.0714        0.9552        0.0302        0.0000        0.0000        0.0000        0.0095        0.0043        0.0000        0.0009        0.0000         0.0000         0.0051         0.0000         0.0000         0.0051         0.0326         0.9572         0.0000         
75        0.0926        0.6667        0.0000        0.0556        0.1111        0.0000        0.0000        0.0000        0.0741        0.9567        0.0268        0.0000        0.0000        0.0000        0.0112        0.0043        0.0000        0.0009        0.0000         0.0000         0.0050         0.0000         0.0000         0.0070         0.0322         0.9557         0.0000         
76        0.0926        0.6667        0.0000        0.0926        0.0741        0.0000        0.0000        0.0000        0.0741        0.9554        0.0258        0.0000        0.0000        0.0000        0.0120        0.0052        0.0000        0.0017        0.0000         0.0000         0.0050         0.0000         0.0000         0.0070         0.0322         0.9557         0.0000         
77        0.1042        0.7083        0.0000        0.0833        0.0208        0.0000        0.0000        0.0000        0.0833        0.9621        0.0241        0.0000        0.0000        0.0000        0.0095        0.0026        0.0000        0.0017        0.0000         0.0000         0.0049         0.0000         0.0000         0.0089         0.0315         0.9547         0.0000         
78        0.0909        0.7636        0.0000        0.0727        0.0000        0.0000        0.0000        0.0000        0.0727        0.9673        0.0198        0.0000        0.0000        0.0000        0.0069        0.0052        0.0000        0.0009        0.0000         0.0000         0.0059         0.0000         0.0000         0.0079         0.0316         0.9546         0.0000         
79        0.1000        0.7600        0.0000        0.0600        0.0000        0.0000        0.0000        0.0000        0.0800        0.9668        0.0170        0.0000        0.0000        0.0000        0.0094        0.0051        0.0000        0.0017        0.0000         0.0000         0.0059         0.0000         0.0000         0.0049         0.0313         0.9579         0.0000         
80        0.0877        0.7544        0.0000        0.0877        0.0000        0.0000        0.0000        0.0000        0.0702        0.9669        0.0187        0.0000        0.0000        0.0000        0.0076        0.0051        0.0000        0.0017        0.0000         0.0000         0.0049         0.0000         0.0000         0.0049         0.0314         0.9588         0.0000         
81        0.0877        0.7368        0.0000        0.1053        0.0000        0.0000        0.0000        0.0000        0.0702        0.9722        0.0143        0.0000        0.0000        0.0000        0.0093        0.0034        0.0000        0.0008        0.0000         0.0000         0.0039         0.0000         0.0000         0.0059         0.0313         0.9589         0.0000         
82        0.0962        0.7692        0.0000        0.0577        0.0000        0.0000        0.0000        0.0000        0.0769        0.9684        0.0174        0.0000        0.0000        0.0000        0.0091        0.0050        0.0000        0.0000        0.0000         0.0000         0.0059         0.0000         0.0000         0.0069         0.0313         0.9559         0.0000         
83        0.0926        0.7407        0.0000        0.0926        0.0000        0.0000        0.0000        0.0000        0.0741        0.9716        0.0167        0.0000        0.0000        0.0000        0.0084        0.0033        0.0000        0.0000        0.0000         0.0000         0.0048         0.0000         0.0000         0.0077         0.0329         0.9545         0.0000         
84        0.0926        0.7222        0.0000        0.1111        0.0000        0.0000        0.0000        0.0000        0.0741        0.9718        0.0149        0.0000        0.0000        0.0000        0.0083        0.0050        0.0000        0.0000        0.0000         0.0000         0.0077         0.0000         0.0000         0.0106         0.0326         0.9491         0.0000         
85        0.0926        0.7037        0.0000        0.1296        0.0000        0.0000        0.0000        0.0000        0.0741        0.9749        0.0151        0.0000        0.0000        0.0000        0.0084        0.0017        0.0000        0.0000        0.0000         0.0000         0.0058         0.0000         0.0000         0.0077         0.0319         0.9545         0.0000         
86        0.0909        0.7455        0.0000        0.0909        0.0000        0.0000        0.0000        0.0000        0.0727        0.9782        0.0142        0.0000        0.0000        0.0000        0.0067        0.0008        0.0000        0.0000        0.0000         0.0000         0.0115         0.0000         0.0000         0.0057         0.0335         0.9493         0.0000         
87        0.0943        0.7547        0.0000        0.0755        0.0000        0.0000        0.0000        0.0000        0.0755        0.9750        0.0175        0.0000        0.0000        0.0000        0.0067        0.0008        0.0000        0.0000        0.0000         0.0000         0.0105         0.0000         0.0000         0.0057         0.0315         0.9523         0.0000         
