#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
62        0.0000        0.0000        0.2500        0.6042        0.0000        0.0625        0.0833        0.0000        0.0000        0.9899        0.0000        0.0000        0.0000        0.0000        0.0101        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5913         0.4087         
63        0.0000        0.0000        0.1758        0.6703        0.0000        0.0659        0.0879        0.0000        0.0000        0.9878        0.0000        0.0000        0.0000        0.0000        0.0122        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6245         0.3755         
64        0.0000        0.0000        0.1429        0.6883        0.0000        0.0649        0.1039        0.0000        0.0000        0.9894        0.0000        0.0000        0.0000        0.0000        0.0106        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6159         0.3841         
65        0.0000        0.0000        0.1528        0.6528        0.0000        0.0833        0.1111        0.0000        0.0000        0.9912        0.0000        0.0000        0.0000        0.0000        0.0088        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6261         0.3739         
66        0.0000        0.0000        0.1875        0.6125        0.0000        0.1000        0.1000        0.0000        0.0000        0.9928        0.0000        0.0000        0.0000        0.0000        0.0072        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6214         0.3786         
67        0.0000        0.0000        0.1892        0.5676        0.0000        0.1351        0.1081        0.0000        0.0000        0.9929        0.0000        0.0000        0.0000        0.0000        0.0071        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6255         0.3745         
68        0.0000        0.0000        0.1529        0.5765        0.0000        0.1765        0.0941        0.0000        0.0000        0.9938        0.0000        0.0000        0.0000        0.0000        0.0062        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6397         0.3603         
69        0.0000        0.0000        0.2222        0.5062        0.0000        0.1728        0.0988        0.0000        0.0000        0.9938        0.0000        0.0000        0.0000        0.0000        0.0062        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6516         0.3484         
70        0.0000        0.0000        0.2267        0.4933        0.0000        0.1733        0.1067        0.0000        0.0000        0.9938        0.0000        0.0000        0.0000        0.0000        0.0062        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6632         0.3368         
71        0.0000        0.0000        0.2195        0.5732        0.0000        0.1098        0.0976        0.0000        0.0000        0.9946        0.0000        0.0000        0.0000        0.0000        0.0054        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6720         0.3280         
72        0.0000        0.0000        0.2169        0.5904        0.0000        0.0964        0.0964        0.0000        0.0000        0.9915        0.0000        0.0000        0.0000        0.0000        0.0085        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6769         0.3231         
73        0.0000        0.0000        0.1395        0.6628        0.0000        0.1047        0.0930        0.0000        0.0000        0.9916        0.0000        0.0000        0.0000        0.0000        0.0084        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6928         0.3072         
74        0.0000        0.0000        0.1529        0.6235        0.0000        0.1294        0.0941        0.0000        0.0000        0.9925        0.0000        0.0000        0.0000        0.0000        0.0075        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6887         0.3113         
75        0.0000        0.0000        0.1758        0.6044        0.0000        0.1319        0.0879        0.0000        0.0000        0.9932        0.0000        0.0000        0.0000        0.0000        0.0068        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6755         0.3245         
76        0.0000        0.0000        0.2323        0.5354        0.0000        0.1515        0.0808        0.0000        0.0000        0.9948        0.0000        0.0000        0.0000        0.0000        0.0052        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6712         0.3288         
77        0.0000        0.0000        0.2500        0.4688        0.0000        0.1979        0.0833        0.0000        0.0000        0.9963        0.0000        0.0000        0.0000        0.0000        0.0037        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.6975         0.3025         
78        0.0000        0.0000        0.2273        0.4545        0.0000        0.2273        0.0909        0.0000        0.0000        0.9971        0.0000        0.0000        0.0000        0.0000        0.0029        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7005         0.2995         
79        0.0000        0.0000        0.3146        0.3820        0.0000        0.2135        0.0899        0.0000        0.0000        0.9971        0.0000        0.0000        0.0000        0.0000        0.0029        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7055         0.2945         
