#num_of_iter: 100
#num_of_exper: 1
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.3
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 2557797826341802628
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          optim_solut          
83        0.2230       0.7944            0.5733          0.0038          0.1184          0.0208        0.4598        0.3972         0.7124              0.0265                    0.0250           0.0215           0.26                 
84        0.2211       0.8003            0.5772          0.0031          0.1119          0.0208        0.4637        0.4006         0.7109              0.0211                    0.0242           0.0208           0.26                 
85        0.2176       0.8003            0.5770          0.0031          0.1196          0.0208        0.4591        0.3975         0.7143              0.0235                    0.0350           0.0154           0.26                 
86        0.2176       0.7840            0.5705          0.0031          0.1150          0.0211        0.4587        0.4022         0.7082              0.0223                    0.0288           0.0208           0.26                 
87        0.2203       0.7973            0.5752          0.0027          0.1115          0.0204        0.4621        0.4033         0.7166              0.0165                    0.0238           0.0169           0.26                 
88        0.2180       0.8092            0.5817          0.0019          0.1150          0.0200        0.4617        0.4014         0.7201              0.0165                    0.0296           0.0131           0.26                 
89        0.2195       0.8003            0.5751          0.0023          0.1196          0.0185        0.4567        0.4029         0.7116              0.0211                    0.0300           0.0161           0.26                 
90        0.2191       0.8033            0.5778          0.0027          0.1146          0.0200        0.4637        0.3991         0.7155              0.0219                    0.0311           0.0150           0.26                 
91        0.2180       0.8018            0.5742          0.0023          0.1165          0.0196        0.4583        0.4033         0.7143              0.0200                    0.0292           0.0177           0.26                 
92        0.2203       0.8033            0.5785          0.0027          0.1115          0.0173        0.4598        0.4087         0.7159              0.0196                    0.0261           0.0161           0.26                 
93        0.2168       0.7988            0.5804          0.0027          0.1138          0.0165        0.4583        0.4087         0.7113              0.0142                    0.0273           0.0185           0.26                 
94        0.2207       0.8092            0.5798          0.0015          0.1130          0.0161        0.4617        0.4075         0.7097              0.0150                    0.0242           0.0154           0.26                 
95        0.2207       0.7959            0.5717          0.0035          0.1150          0.0161        0.4579        0.4075         0.7120              0.0181                    0.0250           0.0208           0.26                 
96        0.2199       0.8018            0.5798          0.0035          0.1077          0.0161        0.4614        0.4114         0.7113              0.0185                    0.0215           0.0154           0.26                 
97        0.2207       0.7944            0.5766          0.0035          0.1092          0.0150        0.4641        0.4083         0.7070              0.0165                    0.0208           0.0204           0.26                 
98        0.2211       0.7959            0.5749          0.0038          0.1073          0.0150        0.4629        0.4110         0.7063              0.0169                    0.0227           0.0204           0.26                 
99        0.2230       0.8180            0.5851          0.0038          0.1092          0.0138        0.4637        0.4095         0.7070              0.0088                    0.0177           0.0177           0.26                 
