#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          
84        0.2134       0.7751            0.5936          0.0038          0.1296          0.0354        0.5479        0.2834         0.6840              0.0361                    0.0285           0.0000           
85        0.2157       0.7855            0.6034          0.0038          0.1323          0.0311        0.5509        0.2818         0.6817              0.0246                    0.0308           0.0000           
86        0.2134       0.7796            0.6017          0.0038          0.1323          0.0354        0.5506        0.2780         0.6809              0.0238                    0.0300           0.0000           
87        0.2118       0.7737            0.6011          0.0038          0.1319          0.0311        0.5506        0.2826         0.6747              0.0288                    0.0296           0.0000           
88        0.2161       0.7929            0.6087          0.0038          0.1315          0.0292        0.5544        0.2810         0.6759              0.0254                    0.0223           0.0000           
89        0.2157       0.7914            0.6135          0.0038          0.1292          0.0261        0.5556        0.2853         0.6747              0.0204                    0.0300           0.0000           
90        0.2149       0.7781            0.6027          0.0038          0.1315          0.0258        0.5513        0.2876         0.6705              0.0250                    0.0277           0.0000           
91        0.2149       0.7855            0.6077          0.0038          0.1219          0.0261        0.5548        0.2933         0.6690              0.0242                    0.0288           0.0000           
92        0.2165       0.7914            0.6084          0.0038          0.1238          0.0273        0.5536        0.2914         0.6713              0.0158                    0.0181           0.0000           
93        0.2165       0.7973            0.6131          0.0038          0.1180          0.0265        0.5540        0.2976         0.6674              0.0138                    0.0261           0.0000           
94        0.2165       0.7914            0.6124          0.0038          0.1150          0.0273        0.5529        0.3010         0.6624              0.0119                    0.0304           0.0000           
95        0.2176       0.7988            0.6166          0.0038          0.1107          0.0285        0.5556        0.3014         0.6640              0.0131                    0.0185           0.0000           
96        0.2165       0.7914            0.6115          0.0038          0.1150          0.0261        0.5552        0.2999         0.6586              0.0127                    0.0273           0.0000           
97        0.2203       0.8018            0.6198          0.0038          0.1107          0.0296        0.5563        0.2995         0.6651              0.0123                    0.0211           0.0000           
98        0.2188       0.7988            0.6190          0.0038          0.1107          0.0285        0.5567        0.3003         0.6636              0.0158                    0.0181           0.0000           
99        0.2191       0.8018            0.6169          0.0038          0.1088          0.0288        0.5594        0.2991         0.6628              0.0200                    0.0181           0.0000           
