#num_of_iter: 100
#num_of_exper: 11
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 4526043691492536851
#iter         f_C          f_C_corr        av_sum      f_allC      f_allD        f_kD        f_kC        f_kDC       f_strat_ch      f_0D        f_1D        f_2D        f_3D        f_4D        f_5D        f_6D        f_7D        f_8D        f_0C        f_1C        f_2C        f_3C        f_4C        f_5C        f_6C        f_7C        f_8C        f_0DC       f_1DC       f_2DC       f_3DC       f_4DC        f_5DC       f_6DC       f_7DC       f_8DC
45             0.1912        0.1678          0.4421           0.0054      0.3436        0.0571      0.0058      0.5881      1.0             0.7664      0.1387      0.0949      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1429      0.0       0.2857      0.0      0.5      0.0      0.0714      0.0078      0.0      0.0092      0.0007      0.0       0.0      0.0057      0.6707      0.3059
46             0.2003        0.1724          0.4562           0.0071      0.3219        0.0625      0.0058      0.6027      1.0             0.7467      0.16      0.0933      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1429      0.0       0.2857      0.0      0.5      0.0      0.0714      0.0083      0.0      0.0083      0.0007      0.0       0.0      0.0083      0.6759      0.2985
47             0.2003        0.172          0.4692           0.0062      0.3278        0.055      0.0079      0.6031      1.0             0.6894      0.2045      0.1061      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1053      0.0       0.2105      0.0      0.5789      0.0      0.1053      0.0083      0.0      0.009      0.0007      0.0       0.0      0.0083      0.6954      0.2783
48             0.1983        0.1724          0.4678           0.0062      0.3257        0.05      0.0067      0.6114      1.0             0.7417      0.1417      0.1167      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.125      0.0       0.25      0.0      0.5      0.0      0.125      0.0089      0.0      0.0082      0.0      0.0       0.0      0.0075      0.703      0.2725
49             0.1941        0.1703          0.4657           0.0058      0.3165        0.0504      0.0067      0.6206      1.0             0.7355      0.1157      0.1488      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.125      0.0       0.25      0.0      0.5      0.0      0.125      0.0067      0.0      0.0074      0.0      0.0       0.0      0.0094      0.7188      0.2577
50             0.1953        0.1662          0.4574           0.0075      0.3011        0.0521      0.0071      0.6322      1.0             0.76      0.112      0.128      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.2353      0.0      0.7059      0.0      0.0588      0.0059      0.0      0.0072      0.0      0.0       0.0      0.0125      0.7148      0.2596
51             0.2037        0.1758          0.4791           0.0075      0.2732        0.055      0.0062      0.6581      1.0             0.8182      0.0833      0.0985      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.2667      0.0      0.6      0.0      0.1333      0.0057      0.0      0.0089      0.0      0.0       0.0      0.0095      0.7203      0.2557
52             0.2045        0.1766          0.4801           0.0092      0.2557        0.0583      0.0075      0.6693      1.0             0.8286      0.1      0.0714      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.1667      0.0      0.7222      0.0      0.1111      0.0056      0.0      0.0081      0.0      0.0       0.0      0.0093      0.7399      0.2371
53             0.2041        0.1783          0.4865           0.0071      0.2416        0.0629      0.0067      0.6818      1.0             0.8742      0.0265      0.0993      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.25      0.0      0.625      0.0      0.125      0.0055      0.0      0.0079      0.0      0.0       0.0      0.0092      0.7495      0.2279
54             0.2087        0.1787          0.4898           0.0087      0.2303        0.06      0.0067      0.6943      1.0             0.8819      0.0208      0.0972      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.25      0.0      0.625      0.0      0.125      0.0054      0.0      0.0072      0.0      0.0       0.0      0.009      0.7672      0.2112
55             0.2032        0.1791          0.4874           0.0062      0.2199        0.0671      0.0067      0.7001      1.0             0.9068      0.0062      0.087      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.25      0.0      0.625      0.0      0.125      0.0054      0.0      0.0065      0.0      0.0       0.0      0.0089      0.7864      0.1927
56             0.2091        0.1837          0.5059           0.0054      0.2149        0.0675      0.0062      0.706      1.0             0.8889      0.0      0.1111      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.2      0.0      0.6667      0.0      0.1333      0.0053      0.0      0.0065      0.0      0.0       0.0      0.0088      0.8006      0.1788
57             0.2045        0.1778          0.4936           0.0092      0.2091        0.0637      0.005      0.713      1.0             0.9085      0.0      0.0915      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0833      0.0      0.75      0.0      0.1667      0.0053      0.0      0.0064      0.0      0.0       0.0      0.0088      0.8043      0.1752
58             0.2087        0.1837          0.5088           0.0071      0.1953        0.0579      0.0054      0.7343      1.0             0.9137      0.0      0.0863      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.1538      0.0      0.6923      0.0      0.1538      0.0051      0.0      0.0062      0.0      0.0       0.0      0.0085      0.8123      0.1679
59             0.2091        0.1808          0.4976           0.0062      0.1895        0.0583      0.0054      0.7405      1.0             0.9429      0.0      0.0571      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.1538      0.0      0.6923      0.0      0.1538      0.0051      0.0      0.0062      0.0      0.0       0.0      0.0084      0.8228      0.1575
60             0.2095        0.1833          0.51           0.0054      0.1962        0.0504      0.0071      0.7409      1.0             0.9339      0.0      0.0661      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.1176      0.0      0.7647      0.0      0.1176      0.0051      0.0      0.0062      0.0      0.0       0.0      0.0084      0.8162      0.1641
61             0.2128        0.1837          0.5107           0.0067      0.1895        0.0529      0.0054      0.7455      1.0             0.9213      0.0      0.0787      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0769      0.0      0.7692      0.0      0.1538      0.005      0.0      0.0061      0.0      0.0       0.0      0.0084      0.8235      0.157
62             0.2074        0.1853          0.5137           0.0054      0.1891        0.0471      0.005      0.7534      1.0             0.9115      0.0      0.0885      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8333      0.0      0.1667      0.005      0.0      0.0061      0.0      0.0       0.0      0.0083      0.8203      0.1603
63             0.2124        0.1899          0.5284           0.0058      0.1753        0.0441      0.005      0.7697      1.0             0.9245      0.0      0.0755      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8333      0.0      0.1667      0.0049      0.0      0.006      0.0      0.0       0.0      0.0081      0.8371      0.1439
64             0.2087        0.1862          0.5247           0.005      0.1699        0.0425      0.005      0.7776      1.0             0.8922      0.0      0.1078      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8333      0.0      0.1667      0.0048      0.0      0.0059      0.0      0.0       0.0      0.0075      0.8361      0.1457
65             0.2149        0.1912          0.5371           0.0046      0.162        0.0454      0.005      0.783      1.0             0.8899      0.0      0.1101      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8333      0.0      0.1667      0.0048      0.0      0.0059      0.0      0.0       0.0      0.008      0.8404      0.141
66             0.2107        0.1908          0.5366           0.0046      0.1633        0.0416      0.0046      0.7859      1.0             0.9      0.0      0.1      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8182      0.0      0.1818      0.0048      0.0      0.0058      0.0      0.0       0.0      0.0079      0.8479      0.1335
67             0.2145        0.1916          0.5494           0.0062      0.1479        0.0437      0.0042      0.798      1.0             0.9048      0.0      0.0952      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0047      0.0      0.0057      0.0      0.0       0.0      0.0078      0.8586      0.1232
68             0.217        0.1928          0.5492           0.0062      0.1424        0.0408      0.0042      0.8063      1.0             0.9082      0.0      0.0918      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0046      0.0      0.0057      0.0      0.0       0.0      0.0077      0.8688      0.1131
69             0.2141        0.1912          0.5487           0.0054      0.1387        0.0404      0.0058      0.8097      1.0             0.8763      0.0      0.1237      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8571      0.0      0.1429      0.0046      0.0      0.0057      0.0      0.0       0.0      0.0077      0.8693      0.1127
70             0.2187        0.1991          0.5639           0.0046      0.1337        0.0379      0.0042      0.8197      1.0             0.8901      0.0      0.1099      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0046      0.0      0.0056      0.0      0.0       0.0      0.0076      0.8694      0.1128
