#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
39        0.1184        0.1515        0.2816        0.2311        0.1340        0.0641        0.0117        0.0039        0.0039        0.0571        0.5714        0.2000        0.0000        0.0000        0.0000        0.0286        0.0000        0.1429        0.0000         0.0000         0.0119         0.0387         0.0030         0.0000         0.0714         0.5387         0.3363         
40        0.1205        0.1563        0.2787        0.2185        0.1525        0.0546        0.0132        0.0019        0.0038        0.0606        0.6061        0.1818        0.0000        0.0000        0.0000        0.0303        0.0000        0.1212        0.0000         0.0000         0.0112         0.0364         0.0028         0.0000         0.0616         0.5434         0.3445         
41        0.1260        0.1339        0.3130        0.2008        0.1634        0.0433        0.0138        0.0020        0.0039        0.0488        0.4634        0.3659        0.0000        0.0000        0.0000        0.0244        0.0000        0.0976        0.0000         0.0000         0.0113         0.0367         0.0028         0.0000         0.0508         0.5565         0.3418         
42        0.1540        0.0986        0.3039        0.2218        0.1643        0.0390        0.0123        0.0021        0.0041        0.0526        0.4474        0.3684        0.0000        0.0000        0.0000        0.0263        0.0000        0.1053        0.0000         0.0000         0.0107         0.0322         0.0027         0.0000         0.0509         0.5442         0.3592         
43        0.1725        0.0891        0.2868        0.2539        0.1492        0.0329        0.0097        0.0019        0.0039        0.0556        0.4444        0.3611        0.0000        0.0000        0.0000        0.0278        0.0000        0.1111        0.0000         0.0000         0.0100         0.0301         0.0025         0.0000         0.0501         0.5439         0.3634         
44        0.1779        0.0899        0.3240        0.2116        0.1554        0.0262        0.0094        0.0019        0.0037        0.0690        0.3793        0.3793        0.0000        0.0000        0.0000        0.0345        0.0000        0.1379        0.0000         0.0000         0.0094         0.0258         0.0023         0.0000         0.0492         0.5222         0.3911         
45        0.1818        0.0872        0.3469        0.1892        0.1558        0.0204        0.0130        0.0019        0.0037        0.0312        0.4375        0.3750        0.0000        0.0000        0.0000        0.0312        0.0000        0.1250        0.0000         0.0000         0.0099         0.0272         0.0025         0.0000         0.0444         0.5605         0.3556         
46        0.1739        0.0851        0.3768        0.1594        0.1649        0.0272        0.0072        0.0018        0.0036        0.0667        0.5000        0.2667        0.0000        0.0000        0.0000        0.0333        0.0000        0.1333        0.0000         0.0000         0.0095         0.0261         0.0024         0.0000         0.0355         0.5616         0.3649         
47        0.1686        0.0894        0.4013        0.1535        0.1501        0.0202        0.0118        0.0017        0.0034        0.0667        0.5333        0.2333        0.0000        0.0000        0.0000        0.0333        0.0000        0.1333        0.0000         0.0000         0.0095         0.0262         0.0024         0.0000         0.0357         0.5929         0.3333         
48        0.1373        0.1039        0.4243        0.1585        0.1373        0.0229        0.0106        0.0018        0.0035        0.0286        0.4571        0.3714        0.0000        0.0000        0.0000        0.0286        0.0000        0.1143        0.0000         0.0000         0.0094         0.0259         0.0024         0.0000         0.0376         0.5859         0.3388         
49        0.1584        0.1087        0.3941        0.1621        0.1381        0.0258        0.0074        0.0018        0.0037        0.0556        0.3889        0.4167        0.0000        0.0000        0.0000        0.0278        0.0000        0.1111        0.0000         0.0000         0.0094         0.0282         0.0023         0.0000         0.0329         0.5986         0.3286         
50        0.1734        0.0847        0.3972        0.1472        0.1532        0.0302        0.0081        0.0020        0.0040        0.0513        0.5128        0.3077        0.0000        0.0000        0.0000        0.0256        0.0000        0.1026        0.0000         0.0000         0.0094         0.0258         0.0023         0.0000         0.0398         0.6300         0.2927         
